time,Rn_air__Bqm3,Rn_gw__Bqm3,layerID,d_box__m,a_box__m2,Rn_wat__Bqm3,temp_wat__C,sal_wat,wind__ms,f_dif__Bqm2hr,lambda__hr,temp_wat__K,kw_air,f_Rn_atm__Bqm2hr,q_epi__m3d,q_meta__m3d,q_hypo__m3d,q_gw__m3m2d
2012-01-26T11:10:00Z,0.37,53065,epilimnion,4,10,25.92,26,0.1,2.7,2,0.007521128261284129,299.15,0.20980433512982916,0.5506340991670131,0.00601718500991743,,,0.116149159583868
2012-01-26T12:10:00Z,0.37,53065,epilimnion,4,10,62.4,26,0.1,2.7,2,0.007521128261284129,299.15,0.20980433512982916,1.327928522055226,0.014496344344807665,,,0.116149159583868
2012-01-26T13:10:00Z,0.37,53065,epilimnion,4,30,22.8,26.4,0.1,2.7,2,0.007521128261284129,299.54999999999995,0.20758864217632222,0.48743464355248817,0.01592048072188359,,,0.116149159583868
2012-01-26T14:10:00Z,0.37,53065,epilimnion,4,30,27.2,26,0.1,2.7,2,0.007521128261284129,299.15,0.20980433512982916,0.5779075876894065,0.01894409811763547,,,0.116149159583868
2012-01-26T15:10:00Z,0.37,53065,metalimnion,4,10,32.32,14.8,0.1,2.7,2,0.007521128261284129,287.95,0.2929548299668056,0.5644121621844107,,0.004397617088259963,,0.116149159583868
2012-01-26T16:10:00Z,0.37,53065,metalimnion,4,10,34.24,9.7,0.1,2.7,2,0.007521128261284129,282.84999999999997,0.34971796622493745,0.5439552565726328,,0.0046588616677605554,,0.116149159583868
2012-01-26T17:10:00Z,0.37,53065,metalimnion,4,30,39.2,14.7,0.1,2.7,2,0.007521128261284129,287.84999999999997,0.2939274735241104,0.683715256554448,,0.01600123049441125,,0.116149159583868
2012-01-26T18:10:00Z,0.37,53065,metalimnion,4,30,7.2,10.5,0.1,2.7,2,0.007521128261284129,283.65,0.3397595146633669,0.11451730830945124,,0.002939001519381658,,0.116149159583868
2012-01-26T19:10:00Z,0.37,53065,hypolimnion,6,10,128,8.3,0.1,2.7,2,0.007521128261284129,281.45,0.36822777790375294,1.9857821714783825,,,0.017078947726748152,0.116149159583868
2012-01-26T20:10:00Z,0.37,53065,hypolimnion,6,10,460.8,8.3,0.1,2.7,2,0.007521128261284129,281.45,0.36822777790375294,7.154317249580974,,,0.08500253839690203,0.116149159583868
2012-01-26T21:10:00Z,0.37,53065,hypolimnion,8,30,54.8,8.4,0.1,2.7,2,0.007521128261284129,281.54999999999995,0.3668578361249161,0.8505740338748943,,,0.01760160356954325,0.116149159583868
2012-01-26T22:10:00Z,0.37,53065,hypolimnion,8,30,353.6,8.4,0.1,2.7,2,0.007521128261284129,281.54999999999995,0.3668578361249161,5.499891690981126,,,0.26153872967822095,0.116149159583868
